Tesla vs Others,CAR MAKE,CAR MODEL,CAR MAKE AND MODEL,Year Month,Reset,SalesO,# of Auto Makers,# of Car Models,Zero Axis,Sales Tesla,Sales Non Tesla,% Sales,X,Y,Car Type1,Number of Records,Month,Sales,Year,Year Month (copy)
TESLA,TESLA, MODEL S,TESLA MODEL S,4/1/2015,Reset,1700,1,1,0,1700,,100,1700,0,Fully Electric,1,APR,1700,2015,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2015,Reset,1553,1,1,0,,1553,,1553,0,Fully Electric,1,APR,1553,2015,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2015,Reset,905,1,1,0,,905,,905,0,Hybrid,1,APR,905,2015,4
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),4/1/2015,Reset,406,1,1,0,,406,,406,0,Fully Electric,1,APR,406,2015,4
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,4/1/2015,Reset,711,1,1,0,,711,,711,0,Hybrid,1,APR,711,2015,4
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,4/1/2015,Reset,553,1,1,0,,553,,553,0,Hybrid,1,APR,553,2015,4
NON TESLA,FIAT, 500E,FIAT 500E,4/1/2015,Reset,717,1,1,0,,717,,717,0,Fully Electric,1,APR,717,2015,4
NON TESLA,VW, E-GOLF,VW E-GOLF,4/1/2015,Reset,309,1,1,0,,309,,309,0,Fully Electric,1,APR,309,2015,4
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,4/1/2015,Reset,428,1,1,0,,428,,428,0,Hybrid,1,APR,428,2015,4
NON TESLA,CHEVROLET, SPARK EV,CHEVROLET SPARK EV,4/1/2015,Reset,920,1,1,0,,920,,920,0,Fully Electric,1,APR,920,2015,4
NON TESLA,BMW, I8,BMW I8,4/1/2015,Reset,138,1,1,0,,138,,138,0,Hybrid,1,APR,138,2015,4
NON TESLA,MERCEDES, B-CLASS ED,MERCEDES B-CLASS ED,4/1/2015,Reset,158,1,1,0,,158,,158,0,Hybrid,1,APR,158,2015,4
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,4/1/2015,Reset,124,1,1,0,,124,,124,0,Fully Electric,1,APR,124,2015,4
NON TESLA,SMART, ED,SMART ED,4/1/2015,Reset,124,1,1,0,,124,,124,0,Fully Electric,1,APR,124,2015,4
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,4/1/2015,Reset,88,1,1,0,,88,,88,0,Hybrid,1,APR,88,2015,4
NON TESLA,CADILLAC, ELR,CADILLAC ELR,4/1/2015,Reset,104,1,1,0,,104,,104,0,Hybrid,1,APR,104,2015,4
NON TESLA,KIA, SOUL EV,KIA SOUL EV,4/1/2015,Reset,73,1,1,0,,73,,73,0,Fully Electric,1,APR,73,2015,4
NON TESLA,PORSCHE, PANAMERA S-E,PORSCHE PANAMERA S-E,4/1/2015,Reset,30,1,1,0,,30,,30,0,Hybrid,1,APR,30,2015,4
