Tesla vs Others,CAR MAKE,CAR MODEL,CAR MAKE AND MODEL,Year Month,Reset,SalesO,# of Auto Makers,# of Car Models,Zero Axis,Sales Tesla,Sales Non Tesla,% Sales,X,Y,Car Type1,Number of Records,Month,Sales,Year,Year Month (copy)
NON TESLA,KIA, SOUL EV,KIA SOUL EV,2/1/2015,Reset,48,1,1,0,,48,,24,41.569219382,Fully Electric,1,FEB,48,2015,2
NON TESLA,PORSCHE, PANAMERA S-E,PORSCHE PANAMERA S-E,2/1/2015,Reset,40,1,1,0,,40,,20,34.641016151,Hybrid,1,FEB,40,2015,2
NON TESLA,PORSCHE, 918 SPYDER,PORSCHE 918 SPYDER,2/1/2015,Reset,14,1,1,0,,14,,7,12.124355653,Hybrid,1,FEB,14,2015,2
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,2/1/2015,Reset,2,1,1,0,,2,,1,1.732050808,Fully Electric,1,FEB,2,2015,2
NON TESLA,HONDA, ACCORD PHV,HONDA ACCORD PHV,2/1/2015,Reset,12,1,1,0,,12,,6,10.392304845,Hybrid,1,FEB,12,2015,2
NON TESLA,OTHER,,OTHER,2/1/2015,Reset,2,1,1,0,,2,,1,1.732050808,Hybrid,1,FEB,2,2015,2
TESLA,TESLA, MODEL S,TESLA MODEL S,2/1/2016,Reset,1550,1,1,0,1550,,100,775,1342.339375866,Fully Electric,1,FEB,1550,2016,2
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,2/1/2016,Reset,1126,1,1,0,,1126,,563,975.144604661,Hybrid,1,FEB,1126,2016,2
TESLA,TESLA, MODEL X,TESLA MODEL X,2/1/2016,Reset,270,1,1,0,270,,100,135,233.826859022,Fully Electric,1,FEB,270,2016,2
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,2/1/2016,Reset,932,1,1,0,,932,,466,807.135676327,Hybrid,1,FEB,932,2016,2
NON TESLA,NISSAN, LEAF,NISSAN LEAF,2/1/2016,Reset,930,1,1,0,,930,,465,805.403625520,Fully Electric,1,FEB,930,2016,2
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,2/1/2016,Reset,490,1,1,0,,490,,245,424.352447854,Hybrid,1,FEB,490,2016,2
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),2/1/2016,Reset,248,1,1,0,,248,,124,214.774300139,Fully Electric,1,FEB,248,2016,2
NON TESLA,BMW, X5 XDRIVE 40E,BMW X5 XDRIVE 40E,2/1/2016,Reset,345,1,1,0,,345,,172.5,298.778764306,Hybrid,1,FEB,345,2016,2
NON TESLA,FIAT, 500E,FIAT 500E,2/1/2016,Reset,210,1,1,0,,210,,105,181.865334795,Fully Electric,1,FEB,210,2016,2
NON TESLA,AUDI, A3 SPORTBACK E-TRON,AUDI A3 SPORTBACK E-TRON,2/1/2016,Reset,243,1,1,0,,243,,121.5,210.444173120,Hybrid,1,FEB,243,2016,2
NON TESLA,VW, E-GOLF,VW E-GOLF,2/1/2016,Reset,198,1,1,0,,198,,99,171.473029949,Fully Electric,1,FEB,198,2016,2
NON TESLA,HYUNDAI, SONATA PHV,HYUNDAI SONATA PHV,2/1/2016,Reset,200,1,1,0,,200,,100,173.205080757,Hybrid,1,FEB,200,2016,2
NON TESLA,CHEVROLET, SPARK EV,CHEVROLET SPARK EV,2/1/2016,Reset,216,1,1,0,,216,,108,187.061487217,Fully Electric,1,FEB,216,2016,2
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,2/1/2016,Reset,172,1,1,0,,172,,86,148.956369451,Hybrid,1,FEB,172,2016,2
NON TESLA,VOLVO, XC90,VOLVO XC90,2/1/2016,Reset,176,1,1,0,,176,,88,152.420471066,Hybrid,1,FEB,176,2016,2
NON TESLA,KIA, SOUL EV,KIA SOUL EV,2/1/2016,Reset,60,1,1,0,,60,,30,51.961524227,Fully Electric,1,FEB,60,2016,2
NON TESLA,BMW, I8,BMW I8,2/1/2016,Reset,54,1,1,0,,54,,27,46.765371804,Hybrid,1,FEB,54,2016,2
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,2/1/2016,Reset,81,1,1,0,,81,,40.5,70.148057707,Fully Electric,1,FEB,81,2016,2
NON TESLA,SMART, ED,SMART ED,2/1/2016,Reset,54,1,1,0,,54,,27,46.765371804,Fully Electric,1,FEB,54,2016,2
NON TESLA,MERCEDES, B250E,MERCEDES B250E,2/1/2016,Reset,37,1,1,0,,37,,18.5,32.042939940,Fully Electric,1,FEB,37,2016,2
NON TESLA,MERCEDES, S550 PHV,MERCEDES S550 PHV,2/1/2016,Reset,36,1,1,0,,36,,18,31.176914536,Fully Electric,1,FEB,36,2016,2
NON TESLA,CADILLAC, ELR,CADILLAC ELR,2/1/2016,Reset,91,1,1,0,,91,,45.5,78.808311744,Hybrid,1,FEB,91,2016,2
NON TESLA,PORSCHE, PANAMERA S-E,PORSCHE PANAMERA S-E,2/1/2016,Reset,33,1,1,0,,33,,16.5,28.578838325,Hybrid,1,FEB,33,2016,2
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,2/1/2016,Reset,5,1,1,0,,5,,2.5,4.330127019,Fully Electric,1,FEB,5,2016,2
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,2/1/2016,Reset,6,1,1,0,,6,,3,5.196152423,Hybrid,1,FEB,6,2016,2
NON TESLA,OTHER,,OTHER,2/1/2016,Reset,0,1,1,0,,0,,0,0,Hybrid,1,FEB,0,2016,2
TESLA,TESLA, MODEL S,TESLA MODEL S,2/1/2017,Reset,1750,1,1,0,1750,,100,875,1515.544456623,Fully Electric,1,FEB,1750,2017,2
NON TESLA,CHEVROLET, BOLT EV,CHEVROLET BOLT EV,2/1/2017,Reset,952,1,1,0,,952,,476,824.456184403,Fully Electric,1,FEB,952,2017,2
TESLA,TESLA, MODEL X,TESLA MODEL X,2/1/2017,Reset,800,1,1,0,800,,100,400,692.820323028,Fully Electric,1,FEB,800,2017,2
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,2/1/2017,Reset,1362,1,1,0,,1362,,681,1179.526599954,Hybrid,1,FEB,1362,2017,2
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,2/1/2017,Reset,1820,1,1,0,,1820,,910,1576.166234888,Hybrid,1,FEB,1820,2017,2
NON TESLA,NISSAN, LEAF,NISSAN LEAF,2/1/2017,Reset,1037,1,1,0,,1037,,518.5,898.068343724,Fully Electric,1,FEB,1037,2017,2
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,2/1/2017,Reset,837,1,1,0,,837,,418.5,724.863262968,Hybrid,1,FEB,837,2017,2
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,2/1/2017,Reset,639,1,1,0,,639,,319.5,553.390233018,Hybrid,1,FEB,639,2017,2
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),2/1/2017,Reset,318,1,1,0,,318,,159,275.396078403,Fully Electric,1,FEB,318,2017,2
NON TESLA,FIAT, 500E,FIAT 500E,2/1/2017,Reset,590,1,1,0,,590,,295,510.954988233,Fully Electric,1,FEB,590,2017,2
NON TESLA,BMW, X5 XDRIVE 40E,BMW X5 XDRIVE 40E,2/1/2017,Reset,275,1,1,0,,275,,137.5,238.156986041,Hybrid,1,FEB,275,2017,2
NON TESLA,CHRYSLER, PACIFICA HYBRID,CHRYSLER PACIFICA HYBRID,2/1/2017,Reset,0,1,1,0,,0,,0,0,Hybrid,1,FEB,0,2017,2
NON TESLA,BMW, 330E,BMW 330E,2/1/2017,Reset,144,1,1,0,,144,,72,124.707658145,Hybrid,1,FEB,144,2017,2
NON TESLA,VW, E-GOLF,VW E-GOLF,2/1/2017,Reset,293,1,1,0,,293,,146.5,253.745443309,Fully Electric,1,FEB,293,2017,2
NON TESLA,AUDI, A3 SPORTBACK E-TRON,AUDI A3 SPORTBACK E-TRON,2/1/2017,Reset,400,1,1,0,,400,,200,346.410161514,Hybrid,1,FEB,400,2017,2
NON TESLA,HYUNDAI, SONATA PHEV,HYUNDAI SONATA PHEV,2/1/2017,Reset,175,1,1,0,,175,,87.5,151.554445662,Hybrid,1,FEB,175,2017,2
NON TESLA,VOLVO, XC90 T8 PHEV,VOLVO XC90 T8 PHEV,2/1/2017,Reset,83,1,1,0,,83,,41.5,71.880108514,Hybrid,1,FEB,83,2017,2
NON TESLA,KIA, SOUL EV,KIA SOUL EV,2/1/2017,Reset,152,1,1,0,,152,,76,131.635861375,Fully Electric,1,FEB,152,2017,2
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,2/1/2017,Reset,228,1,1,0,,228,,114,197.453792063,Fully Electric,1,FEB,228,2017,2
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,2/1/2017,Reset,121,1,1,0,,121,,60.5,104.789073858,Hybrid,1,FEB,121,2017,2
NON TESLA,KIA, OPTIMA PHEV,KIA OPTIMA PHEV,2/1/2017,Reset,61,1,1,0,,61,,30.5,52.827549631,Hybrid,1,FEB,61,2017,2
NON TESLA,MERCEDES, C350E,MERCEDES C350E,2/1/2017,Reset,51,1,1,0,,51,,25.5,44.167295593,Hybrid,1,FEB,51,2017,2
NON TESLA,MERCEDES, B250E,MERCEDES B250E,2/1/2017,Reset,56,1,1,0,,56,,28,48.497422612,Fully Electric,1,FEB,56,2017,2
NON TESLA,BMW, 740E,BMW 740E,2/1/2017,Reset,35,1,1,0,,35,,17.5,30.310889132,Hybrid,1,FEB,35,2017,2
NON TESLA,MERCEDES, S550E,MERCEDES S550E,2/1/2017,Reset,51,1,1,0,,51,,25.5,44.167295593,Hybrid,1,FEB,51,2017,2
NON TESLA,SMART, ED,SMART ED,2/1/2017,Reset,22,1,1,0,,22,,11,19.052558883,Fully Electric,1,FEB,22,2017,2
NON TESLA,BMW, I8,BMW I8,2/1/2017,Reset,58,1,1,0,,58,,29,50.229473419,Hybrid,1,FEB,58,2017,2
NON TESLA,MERCEDES, GLE 550E,MERCEDES GLE 550E,2/1/2017,Reset,59,1,1,0,,59,,29.5,51.095498823,Hybrid,1,FEB,59,2017,2
NON TESLA,CHEVROLET, SPARK EV,CHEVROLET SPARK EV,2/1/2017,Reset,4,1,1,0,,4,,2,3.464101615,Fully Electric,1,FEB,4,2017,2
NON TESLA,PORSCHE, PANAMERA E-HYBRID,PORSCHE PANAMERA E-HYBRID,2/1/2017,Reset,1,1,1,0,,1,,0.5,0.866025404,Hybrid,1,FEB,1,2017,2
NON TESLA,CADILLAC, ELR,CADILLAC ELR,2/1/2017,Reset,0,1,1,0,,0,,0,0,Hybrid,1,FEB,0,2017,2
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,2/1/2017,Reset,3,1,1,0,,3,,1.5,2.598076211,Fully Electric,1,FEB,3,2017,2
TESLA,TESLA, MODEL 3,TESLA MODEL 3,2/1/2018,Reset,2485,1,1,0,2485,,100,1242.5,2152.073128404,Fully Electric,1,FEB,2485,2018,2
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,2/1/2018,Reset,2050,1,1,0,,2050,,1025,1775.352077758,Hybrid,1,FEB,2050,2018,2
TESLA,TESLA, MODEL X,TESLA MODEL X,2/1/2018,Reset,975,1,1,0,975,,100,487.5,844.374768690,Fully Electric,1,FEB,975,2018,2
TESLA,TESLA, MODEL S,TESLA MODEL S,2/1/2018,Reset,1125,1,1,0,1125,,100,562.5,974.278579257,Fully Electric,1,FEB,1125,2018,2
NON TESLA,HONDA, CLARITY PHEV,HONDA CLARITY PHEV,2/1/2018,Reset,911,1,1,0,,911,,455.5,788.949142848,Hybrid,1,FEB,911,2018,2
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,2/1/2018,Reset,983,1,1,0,,983,,491.5,851.302971920,Hybrid,1,FEB,983,2018,2
NON TESLA,CHEVROLET, BOLT EV,CHEVROLET BOLT EV,2/1/2018,Reset,1424,1,1,0,,1424,,712,1233.220174989,Fully Electric,1,FEB,1424,2018,2
NON TESLA,NISSAN, LEAF,NISSAN LEAF,2/1/2018,Reset,895,1,1,0,,895,,447.5,775.092736387,Fully Electric,1,FEB,895,2018,2
NON TESLA,BMW, 530E,BMW 530E,2/1/2018,Reset,413,1,1,0,,413,,206.5,357.668491763,Hybrid,1,FEB,413,2018,2
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,2/1/2018,Reset,794,1,1,0,,794,,397,687.624170605,Hybrid,1,FEB,794,2018,2
NON TESLA,CHRYSLER, PACIFICA HYBRID,CHRYSLER PACIFICA HYBRID,2/1/2018,Reset,450,1,1,0,,450,,225,389.711431703,Hybrid,1,FEB,450,2018,2
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),2/1/2018,Reset,623,1,1,0,,623,,311.5,539.533826558,Fully Electric,1,FEB,623,2018,2
NON TESLA,BMW, X5 XDRIVE 40E,BMW X5 XDRIVE 40E,2/1/2018,Reset,596,1,1,0,,596,,298,516.151140656,Hybrid,1,FEB,596,2018,2
NON TESLA,MITSUBISHI, OUTLANDER PHEV,MITSUBISHI OUTLANDER PHEV,2/1/2018,Reset,323,1,1,0,,323,,161.5,279.726205422,Hybrid,1,FEB,323,2018,2
NON TESLA,KIA, NIRO PHEV,KIA NIRO PHEV,2/1/2018,Reset,246,1,1,0,,246,,123,213.042249331,Hybrid,1,FEB,246,2018,2
NON TESLA,BMW, 330E,BMW 330E,2/1/2018,Reset,142,1,1,0,,142,,71,122.975607337,Hybrid,1,FEB,142,2018,2
NON TESLA,AUDI, A3 SPORTBACK E-TRON,AUDI A3 SPORTBACK E-TRON,2/1/2018,Reset,199,1,1,0,,199,,99.5,172.339055353,Hybrid,1,FEB,199,2018,2
NON TESLA,VOLVO, XC60 PHEV,VOLVO XC60 PHEV,2/1/2018,Reset,155,1,1,0,,155,,77.5,134.233937587,Hybrid,1,FEB,155,2018,2
NON TESLA,FIAT, 500E,FIAT 500E,2/1/2018,Reset,235,1,1,0,,235,,117.5,203.515969889,Fully Electric,1,FEB,235,2018,2
NON TESLA,PORSCHE, PANAMERA E-HYBRID,PORSCHE PANAMERA E-HYBRID,2/1/2018,Reset,2,1,1,0,,2,,1,1.732050808,Hybrid,1,FEB,2,2018,2
NON TESLA,MERCEDES, C350E,MERCEDES C350E,2/1/2018,Reset,172,1,1,0,,172,,86,148.956369451,Hybrid,1,FEB,172,2018,2
NON TESLA,HYUNDAI, IONIQ PHEV,HYUNDAI IONIQ PHEV,2/1/2018,Reset,178,1,1,0,,178,,89,154.152521874,Hybrid,1,FEB,178,2018,2
NON TESLA,MINI, COUNTRYMAN SE PHEV,MINI COUNTRYMAN SE PHEV,2/1/2018,Reset,100,1,1,0,,100,,50,86.602540378,Hybrid,1,FEB,100,2018,2
NON TESLA,VOLVO, XC90 T8 PHEV,VOLVO XC90 T8 PHEV,2/1/2018,Reset,106,1,1,0,,106,,53,91.798692801,Hybrid,1,FEB,106,2018,2
NON TESLA,VW, E-GOLF,VW E-GOLF,2/1/2018,Reset,198,1,1,0,,198,,99,171.473029949,Fully Electric,1,FEB,198,2018,2
NON TESLA,SMART, ED,SMART ED,2/1/2018,Reset,90,1,1,0,,90,,45,77.942286341,Fully Electric,1,FEB,90,2018,2
NON TESLA,KIA, SOUL EV,KIA SOUL EV,2/1/2018,Reset,163,1,1,0,,163,,81.5,141.162140817,Fully Electric,1,FEB,163,2018,2
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,2/1/2018,Reset,121,1,1,0,,121,,60.5,104.789073858,Hybrid,1,FEB,121,2018,2
NON TESLA,MERCEDES, GLE 550E,MERCEDES GLE 550E,2/1/2018,Reset,70,1,1,0,,70,,35,60.621778265,Hybrid,1,FEB,70,2018,2
NON TESLA,KIA, OPTIMA PHEV,KIA OPTIMA PHEV,2/1/2018,Reset,103,1,1,0,,103,,51.5,89.200616590,Hybrid,1,FEB,103,2018,2
NON TESLA,HONDA, CLARITY BEV,HONDA CLARITY BEV,2/1/2018,Reset,74,1,1,0,,74,,37,64.085879880,Fully Electric,1,FEB,74,2018,2
NON TESLA,BMW, I8,BMW I8,2/1/2018,Reset,39,1,1,0,,39,,19.5,33.774990748,Hybrid,1,FEB,39,2018,2
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,2/1/2018,Reset,142,1,1,0,,142,,71,122.975607337,Hybrid,1,FEB,142,2018,2
NON TESLA,MERCEDES, GLC 350E,MERCEDES GLC 350E,2/1/2018,Reset,5,1,1,0,,5,,2.5,4.330127019,Hybrid,1,FEB,5,2018,2
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,2/1/2018,Reset,73,1,1,0,,73,,36.5,63.219854476,Fully Electric,1,FEB,73,2018,2
NON TESLA,HYUNDAI, SONATA PHEV,HYUNDAI SONATA PHEV,2/1/2018,Reset,54,1,1,0,,54,,27,46.765371804,Hybrid,1,FEB,54,2018,2
NON TESLA,VOLVO, S90 T8 PHEV,VOLVO S90 T8 PHEV,2/1/2018,Reset,29,1,1,0,,29,,14.5,25.114736710,Hybrid,1,FEB,29,2018,2
NON TESLA,HYUNDAI, IONIQ EV,HYUNDAI IONIQ EV,2/1/2018,Reset,3,1,1,0,,3,,1.5,2.598076211,Fully Electric,1,FEB,3,2018,2
NON TESLA,BMW, 740E,BMW 740E,2/1/2018,Reset,23,1,1,0,,23,,11.5,19.918584287,Hybrid,1,FEB,23,2018,2
NON TESLA,CADILLAC, CT6 PHEV,CADILLAC CT6 PHEV,2/1/2018,Reset,24,1,1,0,,24,,12,20.784609691,Hybrid,1,FEB,24,2018,2
NON TESLA,MERCEDES, B250E,MERCEDES B250E,2/1/2018,Reset,49,1,1,0,,49,,24.5,42.435244785,Fully Electric,1,FEB,49,2018,2
NON TESLA,MERCEDES, S550E,MERCEDES S550E,2/1/2018,Reset,3,1,1,0,,3,,1.5,2.598076211,Hybrid,1,FEB,3,2018,2
TESLA,TESLA, MODEL 3,TESLA MODEL 3,2/1/2019,Reset,5750,1,1,0,5750,,100,2875,4979.646071761,Fully Electric,1,FEB,5750,2019,2
NON TESLA,CHEVROLET, BOLT EV,CHEVROLET BOLT EV,2/1/2019,Reset,1225,1,1,0,,1225,,612.5,1060.881119636,Fully Electric,1,FEB,1225,2019,2
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,2/1/2019,Reset,1205,1,1,0,,1205,,602.5,1043.560611560,Hybrid,1,FEB,1205,2019,2
TESLA,TESLA, MODEL X,TESLA MODEL X,2/1/2019,Reset,900,1,1,0,900,,100,450,779.422863406,Fully Electric,1,FEB,900,2019,2
NON TESLA,HONDA, CLARITY PHEV,HONDA CLARITY PHEV,2/1/2019,Reset,1213,1,1,0,,1213,,606.5,1050.488814791,Hybrid,1,FEB,1213,2019,2
TESLA,TESLA, MODEL S,TESLA MODEL S,2/1/2019,Reset,625,1,1,0,625,,100,312.5,541.265877365,Fully Electric,1,FEB,625,2019,2
NON TESLA,NISSAN, LEAF,NISSAN LEAF,2/1/2019,Reset,654,1,1,0,,654,,327,566.380614075,Fully Electric,1,FEB,654,2019,2
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,2/1/2019,Reset,615,1,1,0,,615,,307.5,532.605623327,Hybrid,1,FEB,615,2019,2
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,2/1/2019,Reset,573,1,1,0,,573,,286.5,496.232556368,Hybrid,1,FEB,573,2019,2
NON TESLA,CHRYSLER, PACIFICA HYBRID,CHRYSLER PACIFICA HYBRID,2/1/2019,Reset,589,1,1,0,,589,,294.5,510.088962829,Hybrid,1,FEB,589,2019,2
NON TESLA,BMW, 530E,BMW 530E,2/1/2019,Reset,414,1,1,0,,414,,207,358.534517167,Hybrid,1,FEB,414,2019,2
NON TESLA,KIA, NIRO PHEV,KIA NIRO PHEV,2/1/2019,Reset,505,1,1,0,,505,,252.5,437.342828911,Hybrid,1,FEB,505,2019,2
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),2/1/2019,Reset,350,1,1,0,,350,,175,303.108891325,Fully Electric,1,FEB,350,2019,2
NON TESLA,VOLKSWAGEN, E-GOLF,VOLKSWAGEN E-GOLF,2/1/2019,Reset,118,1,1,0,,118,,59,102.190997647,Fully Electric,1,FEB,118,2019,2
NON TESLA,MITSUBISHI, OUTLANDER PHEV,MITSUBISHI OUTLANDER PHEV,2/1/2019,Reset,157,1,1,0,,157,,78.5,135.965988394,Hybrid,1,FEB,157,2019,2
NON TESLA,BMW, 330E,BMW 330E,2/1/2019,Reset,185,1,1,0,,185,,92.5,160.214699700,Hybrid,1,FEB,185,2019,2
NON TESLA,JAGUAR, I-PACE,JAGUAR I-PACE,2/1/2019,Reset,186,1,1,0,,186,,93,161.080725104,Fully Electric,1,FEB,186,2019,2
NON TESLA,PORSCHE, PANAMERA E-HYBRID,PORSCHE PANAMERA E-HYBRID,2/1/2019,Reset,160,1,1,0,,160,,80,138.564064606,Hybrid,1,FEB,160,2019,2
NON TESLA,AUDI, A3 SPORTBACK E-TRON,AUDI A3 SPORTBACK E-TRON,2/1/2019,Reset,210,1,1,0,,210,,105,181.865334795,Hybrid,1,FEB,210,2019,2
NON TESLA,MERCEDES, C350E,MERCEDES C350E,2/1/2019,Reset,145,1,1,0,,145,,72.5,125.573683549,Hybrid,1,FEB,145,2019,2
NON TESLA,VOLVO, XC90 T8 PHEV,VOLVO XC90 T8 PHEV,2/1/2019,Reset,105,1,1,0,,105,,52.5,90.932667397,Hybrid,1,FEB,105,2019,2
NON TESLA,MERCEDES, GLC 350E,MERCEDES GLC 350E,2/1/2019,Reset,72,1,1,0,,72,,36,62.353829072,Hybrid,1,FEB,72,2019,2
NON TESLA,VOLVO, XC60 PHEV,VOLVO XC60 PHEV,2/1/2019,Reset,100,1,1,0,,100,,50,86.602540378,Hybrid,1,FEB,100,2019,2
NON TESLA,MERCEDES, GLE 550E,MERCEDES GLE 550E,2/1/2019,Reset,95,1,1,0,,95,,47.5,82.272413360,Hybrid,1,FEB,95,2019,2
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,2/1/2019,Reset,95,1,1,0,,95,,47.5,82.272413360,Hybrid,1,FEB,95,2019,2
NON TESLA,HONDA, CLARITY BEV,HONDA CLARITY BEV,2/1/2019,Reset,68,1,1,0,,68,,34,58.889727457,Fully Electric,1,FEB,68,2019,2
NON TESLA,SMART, ED,SMART ED,2/1/2019,Reset,58,1,1,0,,58,,29,50.229473419,Fully Electric,1,FEB,58,2019,2
NON TESLA,HYUNDAI, IONIQ PHEV,HYUNDAI IONIQ PHEV,2/1/2019,Reset,54,1,1,0,,54,,27,46.765371804,Hybrid,1,FEB,54,2019,2
NON TESLA,FIAT, 500E,FIAT 500E,2/1/2019,Reset,87,1,1,0,,87,,43.5,75.344210129,Fully Electric,1,FEB,87,2019,2
NON TESLA,BMW, I8,BMW I8,2/1/2019,Reset,47,1,1,0,,47,,23.5,40.703193978,Hybrid,1,FEB,47,2019,2
NON TESLA,MINI, COUNTRYMAN SE PHEV,MINI COUNTRYMAN SE PHEV,2/1/2019,Reset,63,1,1,0,,63,,31.5,54.559600438,Hybrid,1,FEB,63,2019,2
NON TESLA,HYUNDAI, KONA ELECTRIC,HYUNDAI KONA ELECTRIC,2/1/2019,Reset,16,1,1,0,,16,,8,13.856406461,Fully Electric,1,FEB,16,2019,2
NON TESLA,BMW, X5 XDRIVE 40E,BMW X5 XDRIVE 40E,2/1/2019,Reset,38,1,1,0,,38,,19,32.908965344,Hybrid,1,FEB,38,2019,2
NON TESLA,VOLVO, S90 T8 PHEV,VOLVO S90 T8 PHEV,2/1/2019,Reset,45,1,1,0,,45,,22.5,38.971143170,Hybrid,1,FEB,45,2019,2
NON TESLA,HYUNDAI, IONIQ EV,HYUNDAI IONIQ EV,2/1/2019,Reset,32,1,1,0,,32,,16,27.712812921,Fully Electric,1,FEB,32,2019,2
NON TESLA,HYUNDAI, SONATA PHEV,HYUNDAI SONATA PHEV,2/1/2019,Reset,71,1,1,0,,71,,35.5,61.487803669,Hybrid,1,FEB,71,2019,2
NON TESLA,KIA, OPTIMA PHEV,KIA OPTIMA PHEV,2/1/2019,Reset,11,1,1,0,,11,,5.5,9.526279442,Hybrid,1,FEB,11,2019,2
NON TESLA,MERCEDES, S550E,MERCEDES S550E,2/1/2019,Reset,10,1,1,0,,10,,5,8.660254038,Hybrid,1,FEB,10,2019,2
NON TESLA,BMW, 740E,BMW 740E,2/1/2019,Reset,14,1,1,0,,14,,7,12.124355653,Hybrid,1,FEB,14,2019,2
NON TESLA,CADILLAC, CT6 PHEV,CADILLAC CT6 PHEV,2/1/2019,Reset,1,1,1,0,,1,,0.5,0.866025404,Hybrid,1,FEB,1,2019,2
NON TESLA,MERCEDES, B250E,MERCEDES B250E,2/1/2019,Reset,2,1,1,0,,2,,1,1.732050808,Fully Electric,1,FEB,2,2019,2
NON TESLA,KIA, SOUL EV,KIA SOUL EV,2/1/2019,Reset,1,1,1,0,,1,,0.5,0.866025404,Fully Electric,1,FEB,1,2019,2
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,1/1/2011,Reset,321,1,1,0,,321,,0,321,Hybrid,1,JAN,321,2011,1
NON TESLA,NISSAN, LEAF,NISSAN LEAF,1/1/2011,Reset,87,1,1,0,,87,,0,87,Fully Electric,1,JAN,87,2011,1
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,1/1/2012,Reset,603,1,1,0,,603,,0,603,Hybrid,1,JAN,603,2012,1
NON TESLA,NISSAN, LEAF,NISSAN LEAF,1/1/2012,Reset,676,1,1,0,,676,,0,676,Fully Electric,1,JAN,676,2012,1
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,1/1/2012,Reset,2,1,1,0,,2,,0,2,Fully Electric,1,JAN,2,2012,1
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,1/1/2012,Reset,36,1,1,0,,36,,0,36,Fully Electric,1,JAN,36,2012,1
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,1/1/2013,Reset,1140,1,1,0,,1140,,0,1140,Hybrid,1,JAN,1140,2013,1
NON TESLA,NISSAN, LEAF,NISSAN LEAF,1/1/2013,Reset,650,1,1,0,,650,,0,650,Fully Electric,1,JAN,650,2013,1
TESLA,TESLA, MODEL S,TESLA MODEL S,1/1/2013,Reset,1200,1,1,0,1200,,100,0,1200,Fully Electric,1,JAN,1200,2013,1
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,1/1/2013,Reset,874,1,1,0,,874,,0,874,Hybrid,1,JAN,874,2013,1
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,1/1/2013,Reset,338,1,1,0,,338,,0,338,Hybrid,1,JAN,338,2013,1
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,1/1/2013,Reset,0,1,1,0,,0,,0,0,Hybrid,1,JAN,0,2013,1
NON TESLA,FIAT, 500E,FIAT 500E,1/1/2013,Reset,0,1,1,0,,0,,0,0,Fully Electric,1,JAN,0,2013,1
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,1/1/2013,Reset,81,1,1,0,,81,,0,81,Fully Electric,1,JAN,81,2013,1
NON TESLA,TOYOTA, RAV4 EV,TOYOTA RAV4 EV,1/1/2013,Reset,25,1,1,0,,25,,0,25,Hybrid,1,JAN,25,2013,1
