id,CAR.MAKE,CAR.MAKE.AND.MODEL,CAR.MODEL,Car.Type1,Month,Sales,Sales.Non.Tesla,Sales.Tesla,Year,Year.Month,Year.Month..copy.
348,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,1361,1361,,2012,12/1/2012,12
349,NISSAN,NISSAN LEAF, LEAF,Fully Electric,DEC,1489,1489,,2012,12/1/2012,12
350,TESLA,TESLA MODEL S, MODEL S,Fully Electric,DEC,1790,,1790,2012,12/1/2012,12
351,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,DEC,971,971,,2012,12/1/2012,12
352,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,DEC,162,162,,2012,12/1/2012,12
353,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,DEC,77,77,,2012,12/1/2012,12
354,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,DEC,52,52,,2012,12/1/2012,12
355,HONDA,HONDA FIT EV, FIT EV,Fully Electric,DEC,19,19,,2012,12/1/2012,12
356,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,DEC,2392,2392,,2013,12/1/2013,12
357,NISSAN,NISSAN LEAF, LEAF,Fully Electric,DEC,2529,2529,,2013,12/1/2013,12
358,TESLA,TESLA MODEL S, MODEL S,Fully Electric,DEC,1500,,1500,2013,12/1/2013,12
359,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,919,919,,2013,12/1/2013,12
360,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,DEC,827,827,,2013,12/1/2013,12
361,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,DEC,791,791,,2013,12/1/2013,12
362,FIAT,FIAT 500E, 500E,Fully Electric,DEC,470,470,,2013,12/1/2013,12
363,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,DEC,158,158,,2013,12/1/2013,12
364,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,DEC,28,28,,2013,12/1/2013,12
365,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,DEC,11,11,,2013,12/1/2013,12
366,SMART,SMART ED, ED,Fully Electric,DEC,167,167,,2013,12/1/2013,12
367,HONDA,HONDA FIT EV, FIT EV,Fully Electric,DEC,51,51,,2013,12/1/2013,12
368,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,DEC,76,76,,2013,12/1/2013,12
369,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,DEC,38,38,,2013,12/1/2013,12
370,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,DEC,47,47,,2013,12/1/2013,12
371,CADILLAC,CADILLAC ELR, ELR,Hybrid,DEC,6,6,,2013,12/1/2013,12
372,NISSAN,NISSAN LEAF, LEAF,Fully Electric,DEC,3102,3102,,2014,12/1/2014,12
373,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,DEC,1490,1490,,2014,12/1/2014,12
374,TESLA,TESLA MODEL S, MODEL S,Fully Electric,DEC,3500,,3500,2014,12/1/2014,12
375,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,492,492,,2014,12/1/2014,12
376,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,DEC,789,789,,2014,12/1/2014,12
377,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,DEC,659,659,,2014,12/1/2014,12
378,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,DEC,1013,1013,,2014,12/1/2014,12
379,FIAT,FIAT 500E, 500E,Fully Electric,DEC,279,279,,2014,12/1/2014,12
380,SMART,SMART ED, ED,Fully Electric,DEC,351,351,,2014,12/1/2014,12
381,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,DEC,53,53,,2014,12/1/2014,12
382,CADILLAC,CADILLAC ELR, ELR,Hybrid,DEC,118,118,,2014,12/1/2014,12
383,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,DEC,37,37,,2014,12/1/2014,12
384,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,DEC,131,131,,2014,12/1/2014,12
385,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,DEC,31,31,,2014,12/1/2014,12
386,MERCEDES,MERCEDES B-CLASS ED, B-CLASS ED,Hybrid,DEC,326,326,,2014,12/1/2014,12
387,BMW,BMW I8, I8,Hybrid,DEC,158,158,,2014,12/1/2014,12
388,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,DEC,63,63,,2014,12/1/2014,12
389,HONDA,HONDA FIT EV, FIT EV,Fully Electric,DEC,32,32,,2014,12/1/2014,12
390,KIA,KIA SOUL EV, SOUL EV,Fully Electric,DEC,110,110,,2014,12/1/2014,12
391,VW,VW E-GOLF, E-GOLF,Fully Electric,DEC,237,237,,2014,12/1/2014,12
392,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,DEC,12,12,,2014,12/1/2014,12
393,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,DEC,55,55,,2014,12/1/2014,12
394,TESLA,TESLA MODEL S, MODEL S,Fully Electric,DEC,3600,,3600,2015,12/1/2015,12
395,NISSAN,NISSAN LEAF, LEAF,Fully Electric,DEC,1347,1347,,2015,12/1/2015,12
396,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,DEC,2114,2114,,2015,12/1/2015,12
397,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,DEC,1422,1422,,2015,12/1/2015,12
398,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,DEC,1058,1058,,2015,12/1/2015,12
399,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,DEC,579,579,,2015,12/1/2015,12
400,FIAT,FIAT 500E, 500E,Fully Electric,DEC,265,265,,2015,12/1/2015,12
401,VW,VW E-GOLF, E-GOLF,Fully Electric,DEC,609,609,,2015,12/1/2015,12
402,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,22,22,,2015,12/1/2015,12
403,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,DEC,152,152,,2015,12/1/2015,12
404,BMW,BMW I8, I8,Hybrid,DEC,656,656,,2015,12/1/2015,12
405,MERCEDES,MERCEDES B-CLASS ED, B-CLASS ED,Hybrid,DEC,97,97,,2015,12/1/2015,12
406,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,DEC,96,96,,2015,12/1/2015,12
407,SMART,SMART ED, ED,Fully Electric,DEC,179,179,,2015,12/1/2015,12
408,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,DEC,137,137,,2015,12/1/2015,12
409,CADILLAC,CADILLAC ELR, ELR,Hybrid,DEC,135,135,,2015,12/1/2015,12
410,KIA,KIA SOUL EV, SOUL EV,Fully Electric,DEC,96,96,,2015,12/1/2015,12
411,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,DEC,607,607,,2015,12/1/2015,12
412,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,DEC,16,16,,2015,12/1/2015,12
413,TESLA,TESLA MODEL X, MODEL X,Fully Electric,DEC,199,,199,2015,12/1/2015,12
414,PORSCHE,PORSCHE 918 SPYDER, 918 SPYDER,Hybrid,DEC,0,0,,2015,12/1/2015,12
415,HYUNDAI,HYUNDAI SONATA PHV, SONATA PHV,Hybrid,DEC,145,145,,2015,12/1/2015,12
416,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,DEC,35,35,,2015,12/1/2015,12
417,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,DEC,9,9,,2015,12/1/2015,12
418,VOLVO,VOLVO XC90, XC90,Hybrid,DEC,74,74,,2015,12/1/2015,12
419,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,DEC,1,1,,2015,12/1/2015,12
420,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,DEC,49,49,,2015,12/1/2015,12
421,OTHER,OTHER,,Hybrid,DEC,0,0,,2015,12/1/2015,12
422,TESLA,TESLA MODEL S, MODEL S,Fully Electric,DEC,5850,,5850,2016,12/1/2016,12
423,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,DEC,3691,3691,,2016,12/1/2016,12
424,TESLA,TESLA MODEL X, MODEL X,Fully Electric,DEC,3875,,3875,2016,12/1/2016,12
425,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,DEC,1099,1099,,2016,12/1/2016,12
426,NISSAN,NISSAN LEAF, LEAF,Fully Electric,DEC,1899,1899,,2016,12/1/2016,12
427,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,DEC,1289,1289,,2016,12/1/2016,12
428,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,DEC,791,791,,2016,12/1/2016,12
429,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,DEC,569,569,,2016,12/1/2016,12
430,FIAT,FIAT 500E, 500E,Fully Electric,DEC,650,650,,2016,12/1/2016,12
431,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,DEC,589,589,,2016,12/1/2016,12
432,VW,VW E-GOLF, E-GOLF,Fully Electric,DEC,443,443,,2016,12/1/2016,12
433,HYUNDAI,HYUNDAI SONATA PHV, SONATA PHV,Hybrid,DEC,325,325,,2016,12/1/2016,12
434,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,DEC,17,17,,2016,12/1/2016,12
435,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,1641,1641,,2016,12/1/2016,12
436,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,DEC,152,152,,2016,12/1/2016,12
437,VOLVO,VOLVO XC90, XC90,Hybrid,DEC,204,204,,2016,12/1/2016,12
438,KIA,KIA SOUL EV, SOUL EV,Fully Electric,DEC,197,197,,2016,12/1/2016,12
439,BMW,BMW I8, I8,Hybrid,DEC,133,133,,2016,12/1/2016,12
440,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,DEC,101,101,,2016,12/1/2016,12
441,BMW,BMW 330E, 330E,Hybrid,DEC,240,240,,2016,12/1/2016,12
442,SMART,SMART ED, ED,Fully Electric,DEC,40,40,,2016,12/1/2016,12
443,MERCEDES,MERCEDES B250E, B250E,Fully Electric,DEC,54,54,,2016,12/1/2016,12
444,CHEVROLET,CHEVROLET BOLT EV, BOLT EV,Fully Electric,DEC,579,579,,2016,12/1/2016,12
445,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,DEC,71,71,,2016,12/1/2016,12
446,CADILLAC,CADILLAC ELR, ELR,Hybrid,DEC,3,3,,2016,12/1/2016,12
447,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,DEC,3,3,,2016,12/1/2016,12
448,MERCEDES,MERCEDES GLE 550E, GLE 550E,Hybrid,DEC,83,83,,2016,12/1/2016,12
449,MERCEDES,MERCEDES C350E, C350E,Hybrid,DEC,171,171,,2016,12/1/2016,12
450,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,DEC,3,3,,2016,12/1/2016,12
451,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,0,0,,2016,12/1/2016,12
452,BMW,BMW 740E, 740E,Hybrid,DEC,23,23,,2016,12/1/2016,12
453,OTHER,OTHER,,Hybrid,DEC,0,0,,2016,12/1/2016,12
454,TESLA,TESLA MODEL S, MODEL S,Fully Electric,DEC,4975,,4975,2017,12/1/2017,12
455,CHEVROLET,CHEVROLET BOLT EV, BOLT EV,Fully Electric,DEC,3227,3227,,2017,12/1/2017,12
456,TESLA,TESLA MODEL X, MODEL X,Fully Electric,DEC,3300,,3300,2017,12/1/2017,12
457,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,2420,2420,,2017,12/1/2017,12
458,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,DEC,1937,1937,,2017,12/1/2017,12
459,NISSAN,NISSAN LEAF, LEAF,Fully Electric,DEC,102,102,,2017,12/1/2017,12
460,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,DEC,875,875,,2017,12/1/2017,12
461,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,DEC,436,436,,2017,12/1/2017,12
462,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,DEC,672,672,,2017,12/1/2017,12
463,FIAT,FIAT 500E, 500E,Fully Electric,DEC,385,385,,2017,12/1/2017,12
464,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,DEC,832,832,,2017,12/1/2017,12
465,CHRYSLER,CHRYSLER PACIFICA HYBRID, PACIFICA HYBRID,Hybrid,DEC,720,720,,2017,12/1/2017,12
466,BMW,BMW 330E, 330E,Hybrid,DEC,363,363,,2017,12/1/2017,12
467,BMW,BMW 530E, 530E,Hybrid,DEC,706,706,,2017,12/1/2017,12
468,VW,VW E-GOLF, E-GOLF,Fully Electric,DEC,343,343,,2017,12/1/2017,12
469,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,DEC,270,270,,2017,12/1/2017,12
470,HYUNDAI,HYUNDAI SONATA PHEV, SONATA PHEV,Hybrid,DEC,195,195,,2017,12/1/2017,12
471,VOLVO,VOLVO XC90 T8 PHEV, XC90 T8 PHEV,Hybrid,DEC,368,368,,2017,12/1/2017,12
472,KIA,KIA SOUL EV, SOUL EV,Fully Electric,DEC,204,204,,2017,12/1/2017,12
473,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,DEC,113,113,,2017,12/1/2017,12
474,TESLA,TESLA MODEL 3, MODEL 3,Fully Electric,DEC,1060,,1060,2017,12/1/2017,12
475,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,DEC,23,23,,2017,12/1/2017,12
476,KIA,KIA OPTIMA PHEV, OPTIMA PHEV,Hybrid,DEC,134,134,,2017,12/1/2017,12
477,HONDA,HONDA CLARITY BEV, CLARITY BEV,Fully Electric,DEC,527,527,,2017,12/1/2017,12
478,HONDA,HONDA CLARITY PHEV, CLARITY PHEV,Hybrid,DEC,898,898,,2017,12/1/2017,12
479,MERCEDES,MERCEDES C350E, C350E,Hybrid,DEC,14,14,,2017,12/1/2017,12
480,MERCEDES,MERCEDES B250E, B250E,Fully Electric,DEC,111,111,,2017,12/1/2017,12
481,BMW,BMW 740E, 740E,Hybrid,DEC,67,67,,2017,12/1/2017,12
482,MERCEDES,MERCEDES S550E, S550E,Hybrid,DEC,26,26,,2017,12/1/2017,12
483,SMART,SMART ED, ED,Fully Electric,DEC,129,129,,2017,12/1/2017,12
484,VOLVO,VOLVO XC60 PHEV, XC60 PHEV,Hybrid,DEC,174,174,,2017,12/1/2017,12
485,BMW,BMW I8, I8,Hybrid,DEC,80,80,,2017,12/1/2017,12
486,MINI,MINI COUNTRYMAN SE PHEV, COUNTRYMAN SE PHEV,Hybrid,DEC,72,72,,2017,12/1/2017,12
487,MERCEDES,MERCEDES GLE 550E, GLE 550E,Hybrid,DEC,82,82,,2017,12/1/2017,12
488,HYUNDAI,HYUNDAI IONIQ EV, IONIQ EV,Fully Electric,DEC,79,79,,2017,12/1/2017,12
489,CADILLAC,CADILLAC CT6 PHEV, CT6 PHEV,Hybrid,DEC,35,35,,2017,12/1/2017,12
490,VOLVO,VOLVO S90 T8 PHEV, S90 T8 PHEV,Hybrid,DEC,52,52,,2017,12/1/2017,12
491,MITSUBISHI,MITSUBISHI OUTLANDER PHEV, OUTLANDER PHEV,Hybrid,DEC,99,99,,2017,12/1/2017,12
492,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,DEC,2,2,,2017,12/1/2017,12
493,PORSCHE,PORSCHE PANAMERA E-HYBRID, PANAMERA E-HYBRID,Hybrid,DEC,0,0,,2017,12/1/2017,12
494,CADILLAC,CADILLAC ELR, ELR,Hybrid,DEC,0,0,,2017,12/1/2017,12
495,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,DEC,0,0,,2017,12/1/2017,12
496,TESLA,TESLA MODEL 3, MODEL 3,Fully Electric,DEC,25250,,25250,2018,12/1/2018,12
497,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,DEC,2759,2759,,2018,12/1/2018,12
498,TESLA,TESLA MODEL X, MODEL X,Fully Electric,DEC,4100,,4100,2018,12/1/2018,12
499,TESLA,TESLA MODEL S, MODEL S,Fully Electric,DEC,3250,,3250,2018,12/1/2018,12
500,HONDA,HONDA CLARITY PHEV, CLARITY PHEV,Hybrid,DEC,2770,2770,,2018,12/1/2018,12
501,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,DEC,1058,1058,,2018,12/1/2018,12
502,CHEVROLET,CHEVROLET BOLT EV, BOLT EV,Fully Electric,DEC,1412,1412,,2018,12/1/2018,12
503,NISSAN,NISSAN LEAF, LEAF,Fully Electric,DEC,1667,1667,,2018,12/1/2018,12
504,BMW,BMW 530E, 530E,Hybrid,DEC,1363,1363,,2018,12/1/2018,12
505,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,DEC,790,790,,2018,12/1/2018,12
506,CHRYSLER,CHRYSLER PACIFICA HYBRID, PACIFICA HYBRID,Hybrid,DEC,713,713,,2018,12/1/2018,12
507,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,DEC,356,356,,2018,12/1/2018,12
508,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,DEC,210,210,,2018,12/1/2018,12
509,MITSUBISHI,MITSUBISHI OUTLANDER PHEV, OUTLANDER PHEV,Hybrid,DEC,431,431,,2018,12/1/2018,12
510,KIA,KIA NIRO PHEV, NIRO PHEV,Hybrid,DEC,316,316,,2018,12/1/2018,12
511,BMW,BMW 330E, 330E,Hybrid,DEC,606,606,,2018,12/1/2018,12
512,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,DEC,265,265,,2018,12/1/2018,12
513,VOLVO,VOLVO XC60 PHEV, XC60 PHEV,Hybrid,DEC,240,240,,2018,12/1/2018,12
514,FIAT,FIAT 500E, 500E,Fully Electric,DEC,193,193,,2018,12/1/2018,12
515,PORSCHE,PORSCHE PANAMERA E-HYBRID, PANAMERA E-HYBRID,Hybrid,DEC,230,230,,2018,12/1/2018,12
516,MERCEDES,MERCEDES C350E, C350E,Hybrid,DEC,240,240,,2018,12/1/2018,12
517,HYUNDAI,HYUNDAI IONIQ PHEV, IONIQ PHEV,Hybrid,DEC,134,134,,2018,12/1/2018,12
518,MINI,MINI COUNTRYMAN SE PHEV, COUNTRYMAN SE PHEV,Hybrid,DEC,114,114,,2018,12/1/2018,12
519,VOLVO,VOLVO XC90 T8 PHEV, XC90 T8 PHEV,Hybrid,DEC,150,150,,2018,12/1/2018,12
520,VW,VW E-GOLF, E-GOLF,Fully Electric,DEC,222,222,,2018,12/1/2018,12
521,SMART,SMART ED, ED,Fully Electric,DEC,122,122,,2018,12/1/2018,12
522,KIA,KIA SOUL EV, SOUL EV,Fully Electric,DEC,54,54,,2018,12/1/2018,12
523,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,DEC,75,75,,2018,12/1/2018,12
524,MERCEDES,MERCEDES GLE 550E, GLE 550E,Hybrid,DEC,140,140,,2018,12/1/2018,12
525,KIA,KIA OPTIMA PHEV, OPTIMA PHEV,Hybrid,DEC,21,21,,2018,12/1/2018,12
526,HONDA,HONDA CLARITY BEV, CLARITY BEV,Fully Electric,DEC,86,86,,2018,12/1/2018,12
527,BMW,BMW I8, I8,Hybrid,DEC,97,97,,2018,12/1/2018,12
528,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,DEC,0,0,,2018,12/1/2018,12
529,MERCEDES,MERCEDES GLC 350E, GLC 350E,Hybrid,DEC,120,120,,2018,12/1/2018,12
530,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,DEC,1,1,,2018,12/1/2018,12
531,HYUNDAI,HYUNDAI SONATA PHEV, SONATA PHEV,Hybrid,DEC,4,4,,2018,12/1/2018,12
532,VOLVO,VOLVO S90 T8 PHEV, S90 T8 PHEV,Hybrid,DEC,45,45,,2018,12/1/2018,12
533,JAGUAR,JAGUAR I-PACE, I-PACE,Fully Electric,DEC,223,223,,2018,12/1/2018,12
534,HYUNDAI,HYUNDAI IONIQ EV, IONIQ EV,Fully Electric,DEC,24,24,,2018,12/1/2018,12
535,BMW,BMW 740E, 740E,Hybrid,DEC,28,28,,2018,12/1/2018,12
536,CADILLAC,CADILLAC CT6 PHEV, CT6 PHEV,Hybrid,DEC,9,9,,2018,12/1/2018,12
537,MERCEDES,MERCEDES B250E, B250E,Fully Electric,DEC,1,1,,2018,12/1/2018,12
538,MERCEDES,MERCEDES S550E, S550E,Hybrid,DEC,11,11,,2018,12/1/2018,12
539,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,281,281,,2011,2/1/2011,2
540,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,67,67,,2011,2/1/2011,2
541,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,1023,1023,,2012,2/1/2012,2
542,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,21,21,,2012,2/1/2012,2
543,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,478,478,,2012,2/1/2012,2
544,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,FEB,44,44,,2012,2/1/2012,2
545,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,1626,1626,,2013,2/1/2013,2
546,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,653,653,,2013,2/1/2013,2
547,TESLA,TESLA MODEL S, MODEL S,Fully Electric,FEB,1400,,1400,2013,2/1/2013,2
548,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,693,693,,2013,2/1/2013,2
549,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,FEB,334,334,,2013,2/1/2013,2
550,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,FEB,119,119,,2013,2/1/2013,2
551,FIAT,FIAT 500E, 500E,Fully Electric,FEB,0,0,,2013,2/1/2013,2
552,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,FEB,158,158,,2013,2/1/2013,2
553,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,FEB,52,52,,2013,2/1/2013,2
554,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,FEB,337,337,,2013,2/1/2013,2
555,HONDA,HONDA FIT EV, FIT EV,Fully Electric,FEB,15,15,,2013,2/1/2013,2
556,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,FEB,0,0,,2013,2/1/2013,2
557,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,FEB,17,17,,2013,2/1/2013,2
558,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,FEB,0,0,,2013,2/1/2013,2
559,CADILLAC,CADILLAC ELR, ELR,Hybrid,FEB,0,0,,2013,2/1/2013,2
560,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,1425,1425,,2014,2/1/2014,2
561,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,1210,1210,,2014,2/1/2014,2
562,TESLA,TESLA MODEL S, MODEL S,Fully Electric,FEB,1089,,1089,2014,2/1/2014,2
563,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,1041,1041,,2014,2/1/2014,2
564,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,FEB,779,779,,2014,2/1/2014,2
565,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,FEB,552,552,,2014,2/1/2014,2
566,FIAT,FIAT 500E, 500E,Fully Electric,FEB,336,336,,2014,2/1/2014,2
567,SMART,SMART ED, ED,Fully Electric,FEB,122,122,,2014,2/1/2014,2
568,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,FEB,129,129,,2014,2/1/2014,2
569,CADILLAC,CADILLAC ELR, ELR,Hybrid,FEB,58,58,,2014,2/1/2014,2
570,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,FEB,101,101,,2014,2/1/2014,2
571,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,FEB,71,71,,2014,2/1/2014,2
572,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,FEB,57,57,,2014,2/1/2014,2
573,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,FEB,24,24,,2014,2/1/2014,2
574,HONDA,HONDA FIT EV, FIT EV,Fully Electric,FEB,33,33,,2014,2/1/2014,2
575,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,FEB,3,3,,2014,2/1/2014,2
576,TESLA,TESLA MODEL S, MODEL S,Fully Electric,FEB,1150,,1150,2015,2/1/2015,2
577,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,1198,1198,,2015,2/1/2015,2
578,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,693,693,,2015,2/1/2015,2
579,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,FEB,1089,1089,,2015,2/1/2015,2
580,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,FEB,603,603,,2015,2/1/2015,2
581,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,FEB,498,498,,2015,2/1/2015,2
582,FIAT,FIAT 500E, 500E,Fully Electric,FEB,315,315,,2015,2/1/2015,2
583,VW,VW E-GOLF, E-GOLF,Fully Electric,FEB,130,130,,2015,2/1/2015,2
584,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,397,397,,2015,2/1/2015,2
585,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,FEB,119,119,,2015,2/1/2015,2
586,BMW,BMW I8, I8,Hybrid,FEB,113,113,,2015,2/1/2015,2
587,MERCEDES,MERCEDES B-CLASS ED, B-CLASS ED,Hybrid,FEB,109,109,,2015,2/1/2015,2
588,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,FEB,145,145,,2015,2/1/2015,2
589,SMART,SMART ED, ED,Fully Electric,FEB,76,76,,2015,2/1/2015,2
590,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,FEB,71,71,,2015,2/1/2015,2
591,CADILLAC,CADILLAC ELR, ELR,Hybrid,FEB,127,127,,2015,2/1/2015,2
592,KIA,KIA SOUL EV, SOUL EV,Fully Electric,FEB,48,48,,2015,2/1/2015,2
593,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,FEB,40,40,,2015,2/1/2015,2
594,PORSCHE,PORSCHE 918 SPYDER, 918 SPYDER,Hybrid,FEB,14,14,,2015,2/1/2015,2
595,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,FEB,2,2,,2015,2/1/2015,2
